Se se
os o
remédios remédio
do de_o
tratamento tratamento
precoce precoce
causassem causar
1 1
% %
dos de_o
efeitos efeito
adversos adverso
que que
as o
vacinas vacina
estão estar
causando causar
, ,
médicos médico
seriam ser
presos prender
, ,
farmácias farmácia
seriam ser
fechadas fechar
, ,
a o
imprensa imprensa
estaria estar
em em
polvorosa polvoroso
fazendo fazer
terrorismo terrorismo
midiático midiático
como como
de de
costume costume
, ,
e e
uma um
nova novo
CPI cpi
já já
estaria estar
em em
curso curso
! !
