Segundo segundo
dados dado
do de_o
governo governo
de de
SC sc
, ,
crianças criança
e e
adolescentes adolescente
representam representar
0 0
, ,
37 37
% %
das de_o
vítimas vítima
de de
covid covid
no em_o
estado estado
. .
Entre entre
pessoas pessoa
abaixo abaixo
de de
19 19
anos ano
o o
índice índice
de de
letalidade letalidade
da de_o
doença doença
é ser
de de
0 0
, ,
05 @card@
% %
. .
Não não
há haver
justificativa justificativa
para para
forçar forçar
a o
vacinação vacinação
nesse em_esse
grupo grupo
de de
pessoas pessoa
. .
