Mortes morte
nas em_o
últimas último
48Hs 48hs
- -
Pessoas pessoas
jovens jovem
sofrendo sofrer
infartos infarto
. .
Ninguém ninguém
questiona questionar
, ,
a a
despeito despeito
da de_o
Anvisa anvisa
ter ter
alertado alertar
sobre sobre
o o
risco risco
de de
problemas problema
Cardíacos cardíaco
e e
Pesquisas pesquisa
indicarem indicar
o o
risco risco
d d
infartos infarto
e e
AVCs avcs
, ,
depois depois
d d
meses mês
após após
as o
doses dose
. .
gov gov
. .
br br
/ /
anvisa anvisa
/ /
pt-br pt-br
/ /
a o
… …
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
pmc pmc
/ /
articles articles
/ /
P p
… …
https://t.co/W2ANw2mmjO https://t.co/w2anw2mmjo
