Cariocas carioca
tá estar
chegando chegar
o o
verão verão
Rio rio
de de
Janeiro janeiro
45° 45°
graus grau
e e
nossa nosso
cidade cidade
pega pegar
fogo fogo
. .
Imaginem imaginar
Dudu dudu
Paes paes
decretando decretar
Lockdonw lockdonw
no em_o
RJ rj
e e
nós nós
sem sem
praia praia
obrigados obrigar
a a
usar usar
máscara máscara
e e
vachina vachina
obrigatória obrigatório
Bora bora
salvar salvar
o o
RJ rj
do de_o
INFERNO inferno
q q
vem vir
com com
DEM dem
angry_face_with_horns_e angry_face_with_horns_e
. .
Fora fora
Eduardo eduardo
Paes paes
Bora bora
de de
Crivella crivella
! !
flexed_biceps_e flexed_biceps_e
flexed_biceps_ebiceps_e flexed_biceps_ebiceps_e
