Acabei acabar
de de
saber saber
q q
uma um
pessoa pessoa
da de_o
minha meu
família família
teve ter
miocardite miocardite
e e
o o
coração coração
está estar
um um
pouco pouco
fraco fraco
. .
Tinha ter
feito fazer
exame exame
antes antes
de de
se se
vacinar vacinar
e e
o o
coração coração
estava estar
ótimo bom
! !
Ela ela
foi ser
avisada avisar
p p
/ /
não não
se se
vacinar vacinar
MIL mil
VEZES vezes
. .
Tomou tomar
a o
primeira primeiro
, ,
a o
segunda segundo
, ,
aí aí
quando quando
viu ver
q q
o o
povo povo
estava estar
morrendo morrer
, ,
parou parar
