Se se
alguém alguém
questiona questionar
o o
conflito conflito
de de
interesses interesse
de de
quem quem
vende vender
vacina vacina
e e
financia financiar
campanhas campanha
contra contra
o o
tratamento tratamento
precoce precoce
dizem dizer
que que
é ser
teoria teoria
da de_o
conspiração conspiração
. .
Agora agora
vem vir
um um
abobado abobar
dizendo dizer
que que
o o
Bolsonaro bolsonaro
lucra lucrar
com com
a o
venda venda
de de
cloroquina cloroquina
e e
os o
ventríloquos ventríloquo
de de
malandro malandro
acreditam acreditar
. .
Ciência ciência
, ,
né né
? ?
