Quase quase
2 2
anos ano
e e
a o
covid covid
não não
causou causar
problemas problema
graves grave
em em
jovens jovem
saudáveis saudável
, ,
muito muito
menos pouco
sequelas sequela
. .
Agora agora
, ,
quando quando
atletas atleta
profissionais profissional
são ser
diagnosticados diagnosticar
com com
miocardite miocardite
justamente justamente
após após
a o
vacinação vacinação
, ,
querem querer
dizer dizer
que que
a o
doença doença
é ser
sequela sequela
do de_o
vírus vírus
e e
não não
da de_o
vacina vacina
? ?
É ser
muita muito
canalhice canalhice
! !
