ALERTA:Além alerta:além
das de_o
v4 v4
. .
. .
. .
c1 c1
. .
. .
n4s n4s
de de
MRN4 mrn4
anti anti
C-19 c-19
causarem causar
coágulos coágulo
mort4is mort4is
, ,
o o
antiviral antiviral
da de_o
Pfizer pfizer
PAXLOVID paxlovid
, ,
colocado colocar
no em_o
mercado mercado
sem sem
testes teste
suficientes suficiente
de de
segurança segurança
-resultou -resultou
perigoso perigoso
e e
até até
mesmo mesmo
l3tal l3tal
para para
alguns algum
pacientes paciente
através através
de de
um um
estudo estudo
revisado revisar
por por
paresEMOJI_backhand_index_pointing_down_light_skin_tone_e paresemoji_backhand_index_pointing_down_light_skin_tone_e
