Hipoteticamente hipoteticamente
falando falar
, ,
e e
se se
descobrirem descobrir
que que
a o
longo longo
prazo prazo
as o
vacinas vacina
geram gerar
efeitos efeito
colaterais colateral
severos severo
e e
desenvolvem desenvolver
doenças doença
imunodeficientes imunodeficientes
verdadeiramente verdadeiramente
letais letal
? ?
Quem quem
será ser
responsabilizado responsabilizar
por por
tê ter
-las elas
aplicado aplicar
deliberadamente deliberadamente
em em
milhões milhão
de de
pessoas pessoa
saudáveis saudável
? ?
