EFICÁCIA eficácia
NEGATIVA negativa
Dr dr
. .
Harvey harvey
Risch risch
: :
[ [
De de
acordo acordo
com com
dados dado
de de
saúde saúde
pública público
do de_o
Reino reino
Unido unido
] _
, ,
as o
taxas taxa
de de
infecção infecção
sintomática sintomático
em em
cada cada
faixa faixa
etária etário
foram ser
aproximadamente aproximadamente
três três
vezes vez
maiores grande
nas em_o
pessoas pessoa
vacinadas vacinar
do de_o
que que
nas em_o
pessoas pessoa
não não
vacinadas vacinar
. .
https://t.co/TuAHU8oRF5 https://t.co/tuahu8orf5
