Ary ary
Filgueira filgueira
era ser
um um
jornalista jornalista
muito muito
admirado admirar
por por
todos todo
em em
Brasília brasília
. .
Tomou tomar
a o
2a 2a
. .
Dose dose
, ,
segundo segundo
depoimentos depoimento
d d
amigos amigo
e e
logo logo
em em
seguida seguida
apresentou apresentar
a a
Síndrome síndrome
de de
Steve steve
Johnson johnson
, ,
d d
forma forma
grave grave
. .
A o
OMS oms
já já
publicou publicar
um um
estudo estudo
indicando indicar
que que
o o
experimento experimento
provoca provocar
a a
Síndrome síndrome
. .
Segue seguir
fontes fonte
: :
https://t.co/f3NmRdihcM https://t.co/f3nmrdihcm
