Diante diante
destes de_este
dados dado
, ,
fica ficar
muito muito
claro claro
que que
não não
faz fazer
sentido sentido
algum algum
vacinar vacinar
toda todo
a o
população população
. .
Não não
tem ter
lógica lógico
correr correr
riscos risco
com com
uma um
vacina vacina
envolta envolver
em em
dúvidas dúvida
, ,
para para
uma um
doença doença
com com
taxa taxa
de de
letalidade letalidade
tão tão
baixa baixo
. .
O o
risco risco
dos de_o
efeitos efeito
colaterais colateral
é ser
mais mais
perigoso perigoso
do de_o
que que
a o
própria próprio
doença doença
. .
. .
. .
