Anthony anthony
Souza souza
, ,
um um
menino menino
forte forte
e e
saudável saudável
, ,
tomou tomar
a o
primeira primeiro
dose dose
em em
janeiro janeiro
/ /
22 22
e e
a o
segunda segundo
dose dose
há haver
algumas algum
semanas semana
. .
Alguns algum
dias dia
depois depois
, ,
teve ter
uma um
trombose trombose
cerebral cerebral
e e
os o
pais pai
pediram pedir
orações oração
pela por_o
sua seu
saúde saúde
. .
Infelizmente infelizmente
, ,
não não
resistiu resistir
e e
faleceu falecer
dia dia
11 11
/ /
05 @card@
/ /
22 22
. .
Fonte fonte
: :
O o
Tempo tempo
. .
https://t.co/HTqE18pghT https://t.co/htqe18pght
