Se se
a o
vacina vacina
não não
provê prover
a o
devida devido
proteção proteção
às a_o
pessoas pessoa
do de_o
grupo grupo
de de
risco risco
, ,
vacinar vacinar
jovens jovem
saudáveis saudável
com com
essa esse
mesma mesmo
vacina vacina
não não
faz fazer
o o
menor pequeno
sentido sentido
, ,
pois pois
eles eles
também também
seguirão seguir
sem sem
a o
devida devido
proteção proteção
, ,
mas mas
serão ser
submetidos submeter
aos a_o
riscos risco
de de
efeitos efeito
adversos adverso
graves grave
. .
