Três três
médicos médico
canadenses canadense
, ,
de de
um um
mesmo mesmo
hospital hospital
, ,
morrem morrer
em em
uma um
única único
semana semana
, ,
após após
a o
instituição instituição
exigir exigir
a o
4a 4a
. .
Dose dose
. .
Importante importante
relembrar relembrar
que que
o o
Diretor diretor
de de
emergências emergência
do de_o
Norte norte
do de_o
Canadá canadá
, ,
também também
havia haver
falecido falecer
durante durante
uma um
corrida corrida
no em_o
mesmo mesmo
período período
. .
Fonte fonte
: :
instagram instagram
. .
com com
/ /
p p
/ /
CgUdbd7OiEK cgudbd7oiek
/ /
… …
https://t.co/e3GqwlB9cv https://t.co/e3gqwlb9cv
