Estudo estudo
publicado publicar
pela por_o
Lancet lancet
afirma afirmar
q q
8 8
meses mês
após após
2a 2a
. .
dose dose
existe existir
risco risco
aumentado aumentar
para para
a o
diminuição diminuição
da de_o
imunidade imunidade
. .
Além além
disso de_isso
, ,
um um
cientista cientista
que que
analisou analisar
os o
dados dado
indicou indicar
q q
a a
eficácia eficácia
da de_o
vax vax
é ser
negativa negativo
. .
Leia ler
o o
artigo artigo
e e
a o
pesquisa pesquisa
: :
doi doi
. .
org org
/ /
10 10
. .
1016 @card@
/ /
S0140- s0140-
… …
virologyj virologyj
. .
biomedcentral biomedcentral
. .
com com
/ /
articles articles
/ /
10 10
. .
11 11
… …
https://t.co/J2GzYtK2t2 https://t.co/j2gzytk2t2
