@AllanGarcs1 twitterhandle
Minha meu
sogra sogro
tomou tomar
a o
1° 1°
dose dose
da de_o
AstraZeneca astrazeneca
, ,
1 1
tornozelo tornozelo
inchou inchar
. .
Teve ter
covid covid
mesmo mesmo
após após
a o
1° 1°
dose dose
, ,
ficou ficar
bem bem
, ,
mas mas
os o
dois dois
tornelos tornelos
e e
pés pé
o o
incharam inchar
. .
Recomendei recomendar
que que
fizessem fazer
exames exame
. .
Fibrinogênio fibrinogênio
e e
D-dmero d-dmero
deram dar
elevados elevar
. .
A o
segunda segundo
dose dose
foi ser
suspensa suspender
, ,
fazendo fazer
uso uso
de de
anticoagulante anticoagulante
