@MarcosQuezado1 twitterhandle
Já já
parou parar
pra pra
pensar pensar
que que
nada nada
do de_o
que que
é ser
relacionado relacionar
a a
Covid-19 covid-19
tem ter
comprovação comprovação
científica científico
? ?
Lockdown lockdown
, ,
máscara máscara
, ,
vacina vacina
, ,
dipirona dipirona
, ,
e e
nem nem
mesmo mesmo
o o
uso uso
de de
ventilação ventilação
mecânica mecânico
e e
intubação intubação
de de
pacientes paciente
na em_o
UTI uti
. .
Mas mas
só só
contra contra
o o
tratamento tratamento
precoce precoce
há haver
uma um
mobilização mobilização
pesada pesar
. .
É ser
suspeito suspeito
, ,
não não
é ser
? ?
