@leandroruschel twitterhandle
Por por
que que
ninguém ninguém
está estar
falando falar
sobre sobre
os o
índices índice
de de
letalidade letalidade
por por
faixa faixa
etária etário
, ,
e e
questionando questionar
a o
vacinação vacinação
em em
crianças criança
, ,
jovens jovem
, ,
e e
adultos adulto
saudáveis saudável
? ?
Correr correr
riscos risco
com com
vacinas vacina
suspeitas suspeito
para para
uma um
doença doença
que que
tem ter
taxa taxa
de de
mortalidade mortalidade
abaixo abaixo
de de
0 0
, ,
1 1
% %
é é
loucura loucura
, ,
não não
se se
justifica justificar
. .
. .
. .
