Paulo paulo
Cesar cesar
Feitosa feitosa
era ser
prefeito prefeito
de de
Itaitinga itaitinga
e e
um um
ferrenho ferrenho
defensor defensor
da de_o
vacina vacina
, ,
junto junto
com com
Camilo camilo
Santana santana
, ,
Governador governador
do de_o
Ceará ceará
. .
Tomou tomar
a o
4a 4a
. .
Dose dose
no em_o
dia dia
14 14
/ /
06 @card@
e e
teve ter
um um
infarto infarto
fulminante fulminante
no em_o
dia dia
06 @card@
/ /
08 @card@
/ /
22 22
. .
A o
OMS oms
já já
indicou indicar
q q
o o
experimento experimento
pode poder
provocar provocar
problemas problema
cardiorrespiratórios cardiorrespiratório
https://t.co/KtbEKWpoBG https://t.co/ktbekwpobg
