@heliobeltrao twitterhandle
Sou ser
pesquisador pesquisador
e e
não não
entendo entender
porque porque
as o
autoridades autoridade
brasileiras brasileiro
estão estar
tão tão
reticentes reticente
em em
usar usar
HCQ hcq
como como
profilático profilático
ou ou
tratamento tratamento
inicial inicial
. .
Este este
comportamento comportamento
da de_o
cloroquina cloroquina
já já
é ser
conhecido conhecido
há há
muito muito
tempo tempo
. .
Veja ver
artigo artigo
abaixo abaixo
: :
https://t.co/OcJXsUoczP https://t.co/ocjxsuoczp
