@RafaelFontana twitterhandle
Bom bom
seria ser
se se
a o
questão questão
fosse ser
apenas apenas
a o
ineficácia ineficácia
, ,
mas mas
estamos estar
falando falar
de de
vacinas vacina
aprovadas aprovar
em em
caráter caráter
emergencial emergencial
, ,
sem sem
estudos estudo
completos completar
quanto quanto
a o
segurança segurança
, ,
e e
que que
estão estar
causando causar
efeitos efeito
adversos adverso
em em
muita muito
gente gente
. .
Não não
fosse ser
o o
suficiente suficiente
, ,
querem querer
vacinar vacinar
as o
crianças criança
. .
. .
. .
