Tô tô
há haver
mais mais
de de
3h 3h
conversando conversar
com com
um um
amigo amigo
q q
quer querer
vacinar vacinar
os o
filhos filho
. .
. .
. .
Ele ele
tem ter
ZERO zero
informação informação
sobre sobre
o o
q q
está estar
acontecendo acontecer
, ,
+ +
é ser
um um
homem homem
q q
busca busca
a a
Deus deus
e e
vai ir
buscar buscar
orientação orientação
dEle dele
Gente gente
, ,
existe existir
um um
mundo mundo
de de
pessoas pessoa
nesse em_esse
país país
q q
nem nem
sabe saber
q q
as o
falsas falso
picadas picada
estão estar
dando dar
problema problema
