Jaisse jaisse
Salvador salvador
era ser
uma um
talentosa talentoso
jogadora jogador
de de
futebol futebol
. .
Muito muito
jovem jovem
, ,
era ser
uma um
promessa promessa
para para
a o
seleção seleção
feminina feminino
. .
Sua seu
morte morte
foi ser
ocultada ocultar
pela por_o
grande grande
mídia mídia
. .
Descobrimos descobrir
que que
ela ela
havia haver
se se
submetido submeter
à a_o
dose dose
de de
reforço reforço
do de_o
experimento experimento
poucos pouco
dias dia
antes antes
de de
seu seu
falecimento falecimento
por por
trombose trombose
. .
https://t.co/y8mKcDoTU6 https://t.co/y8mkcdotu6
