Em em
algumas algum
pessoas pessoa
pode poder
causar causar
danos dano
principalmente principalmente
no em_o
sistema sistema
cardiovascular cardiovascular
. .
Não não
temos ter
tempo tempo
, ,
mas mas
há haver
muitas muito
outras outro
questões questão
vitais vital
sobre sobre
a o
segurança segurança
a a
longo longo
prazo prazo
desta de_este
vacina vacina
. .
Por por
exemplo exemplo
, ,
com com
o o
acúmulo acúmulo
nos em_o
ovários ovário
. .
Uma um
das de_o
minhas meu
perguntas pergunta
é ser
: :
vamos ir
tornar tornar
os o
jovens jovem
inférteis infértil
? ?
