Tão tão
logo logo
constatou constatar
-se se
que que
a o
eficácia eficácia
das de_o
vacinas vacina
era ser
inferior inferior
ao a_o
que que
indicavam indicar
os o
estudos estudo
, ,
a o
campanha campanha
de de
vacinação vacinação
deveria dever
ter ter
sido ser
suspensa suspender
para para
a o
devida devido
revisão revisão
dos de_o
dados dado
. .
Agora agora
que que
os o
vacinados vacinar
dominam dominar
as o
estatísticas estatística
de de
internações internação
e e
óbitos óbito
, ,
quem quem
será ser
responsabilizado responsabilizar
? ?
