Gabriella gabriella
passou passar
por por
testes teste
físicos físico
e e
clínicos clínico
para para
entrar entrar
na em_o
corporação corporação
. .
Segundo segundo
relatos relato
de de
amigos amigo
nunca nunca
apresentou apresentar
problemas problema
cardíacos cardíaco
, ,
até até
se se
submeter submeter
ao a_o
experimento experimento
. .
Faleceu falecer
de de
problemas problema
cardiorrespiratórios cardiorrespiratório
mesmo mesmo
com com
3 3
doses dose
. .
Descanse descansar
em em
paz paz
. .
Fonte fonte
: :
instagram instagram
. .
com com
/ /
p p
/ /
CiaAvqiuWrh ciaavqiuwrh
/ /
… …
https://t.co/TxwtscF12h https://t.co/txwtscf12h
