Acabo acabar
de de
assistir assistir
um um
repórter repórter
comemorar comemorar
o o
avanço avanço
da de_o
vacinação vacinação
em em
SC sc
, ,
para para
em em
seguida seguida
informar informar
a o
piora piora
dos de_o
índices índice
da de_o
pandemia pandemia
, ,
chamando chamar
de de
3ª 3ª
onda onda
. .
Oras orar
, ,
se se
o o
grupo grupo
de de
risco risco
foi ser
todo todo
vacinado vacinar
essa esse
piora piora
não não
deveria dever
levantar levantar
questionamentos questionamento
acerca acerca
da de_o
vacina vacina
? ?
