Você você
conhece conhecer
alguém alguém
que que
depois depois
do de_o
experimento experimento
começou começar
a a
desenvolver desenvolver
tiques tique
incontroláveis incontrolável
, ,
a a
parecer parecer
mais mais
nervoso nervoso
que que
o o
normal normal
, ,
a a
ter ter
tremores tremor
, ,
emitir emitir
sons som
estranhos estranho
? ?
Uma um
pesquisa pesquisa
indica indicar
que que
o o
experimento experimento
agrava agravar
a a
Síndrome síndrome
Taurette taurette
: :
Acesse acesse
a o
pesquisa pesquisa
: :
ehealthme ehealthme
. .
com com
/ /
vs vs
/ /
pfizer-bion pfizer-bion
… …
https://t.co/advZnWFDTx https://t.co/advznwfdtx
